Date,Time,Core Clocks (avg) [MHz],Core 0 Clock [MHz],Core 1 Clock [MHz],Core 2 Clock [MHz],Core 3 Clock [MHz],Average Effective Clock [MHz],Core Temperatures (avg) [°C],Core 0 [°C],Core 1 [°C],Core 2 [°C],Core 3 [°C],Core Distance to TjMAX (avg) [°C],Core 0 Distance to TjMAX [°C],Core 1 Distance to TjMAX [°C],Core 2 Distance to TjMAX [°C],Core 3 Distance to TjMAX [°C],CPU Package [°C],Core Max [°C],CPU Package [°C],CPU IA Cores [°C],CPU GT Cores (Graphics) [°C],CPU Package Power [W]
16.7.2022,51:29.5,3242.1,3192.2,3192.2,3291.9,3291.9,1941.6,74,75,76,73,70,27,25,24,27,30,76,76,79,79,68,30.61
16.7.2022,51:31.9,3517.2,3492.3,3492.3,3492.3,3592.1,1957.9,92,93,87,95,93,8,7,13,5,7,95,95,96,96,68,29.277
16.7.2022,51:33.9,3414.1,3389.2,3389.2,3389.2,3488.9,1355.8,73,71,71,77,74,27,29,29,23,26,77,77,80,80,67,26.137
16.7.2022,51:36.0,3291.9,3291.9,3291.9,3291.9,3291.9,1512.9,72,71,73,69,75,28,29,27,31,25,75,75,78,78,68,29.068
16.7.2022,51:38.2,3415.8,3490.6,3490.6,3291.1,3390.9,2201,91,93,86,95,89,9,7,14,5,11,95,95,95,95,68,31.941
16.7.2022,51:40.6,3440.7,3390.9,3490.6,3390.9,3490.6,1897.9,92,93,87,95,91,9,7,13,5,9,95,95,95,95,67,28.994
16.7.2022,51:42.7,3491.5,3391.7,3391.7,3391.7,3790.7,2837.4,84,85,82,84,84,16,15,18,16,16,85,85,96,96,69,37.453
16.7.2022,51:44.7,3466.5,3491.5,3491.5,3491.5,3391.7,1234.6,73,78,73,68,72,27,22,27,32,28,78,78,76,76,67,25.233
16.7.2022,51:46.8,3691,3391.7,3790.7,3790.7,3790.7,2881.1,91,94,85,91,92,10,6,15,9,8,95,94,95,95,68,37.262
16.7.2022,51:49.8,3491.5,3591.2,3391.7,3591.2,3391.7,1798.7,91,92,86,94,93,9,8,14,6,7,94,94,95,95,68,28.186
16.7.2022,51:51.8,3291.9,3291.9,3291.9,3291.9,3291.9,1790.6,72,76,73,70,68,28,24,27,30,32,76,76,78,78,66,28.431
16.7.2022,51:53.9,3291.9,3291.9,3291.9,3291.9,3291.9,1196.1,70,70,70,68,73,30,30,30,32,27,72,73,73,73,66,23.871
16.7.2022,51:56.0,3342.6,3392.5,3392.5,3292.7,3292.7,2098.6,71,71,74,67,73,29,29,26,33,27,74,74,76,76,66,30.885
16.7.2022,51:58.1,3542.2,3492.3,3492.3,3492.3,3691.9,1963.8,90,97,84,90,88,10,3,16,10,12,97,97,94,94,70,30.593
16.7.2022,52:00.3,3468.2,3393.4,3493.2,3493.2,3493.2,1532.4,92,95,85,96,93,8,5,15,4,7,96,96,96,96,67,26.332
16.7.2022,52:02.3,3491.5,3491.5,3491.5,3491.5,3491.5,2636.4,75,81,75,71,71,26,19,25,29,29,81,81,82,82,69,35.738
16.7.2022,52:04.4,3490.6,3490.6,3490.6,3490.6,3490.6,950.1,73,70,71,72,78,27,30,29,28,22,78,78,78,78,67,22.17
16.7.2022,52:06.5,3390.9,3390.9,3390.9,3390.9,3390.9,2030.8,72,71,75,67,73,29,29,25,33,27,75,75,76,76,68,32.353
16.7.2022,52:08.6,3589.5,3589.5,3589.5,3589.5,3589.5,1325.8,75,73,75,82,71,25,27,25,18,29,82,82,82,82,68,25.432
16.7.2022,52:10.6,3390.9,3390.9,3390.9,3390.9,3390.9,1259.7,71,70,72,73,67,30,30,28,27,33,72,73,77,77,66,23.817
16.7.2022,52:12.8,3765.8,3790.7,3790.7,3890.5,3591.2,2724.2,84,84,85,80,86,16,16,15,20,14,92,86,92,92,70,37.071
16.7.2022,52:14.8,3341.8,3291.9,3291.9,3391.7,3391.7,1389.2,70,68,72,71,69,30,32,28,29,31,72,72,76,76,66,27.941
16.7.2022,52:16.9,3268.6,3293.6,3393.4,3193.8,3193.8,929.7,69,68,73,69,66,31,32,27,31,34,74,73,73,73,66,21.291
16.7.2022,52:19.2,3492.3,3492.3,3392.5,3492.3,3592.1,2640.7,92,95,86,95,91,8,5,14,5,9,95,95,95,95,67,33.855
16.7.2022,52:21.5,3514.7,3489.7,3589.5,3489.7,3489.7,1646.4,91,92,86,94,93,9,8,14,6,7,95,94,95,95,67,27.732
16.7.2022,52:24.6,3394.2,3394.2,3494,3294.4,3394.2,3138.8,92,91,87,95,93,9,9,13,5,7,95,95,95,95,68,37.935
16.7.2022,52:26.9,3490.6,3390.9,3390.9,3590.3,3590.3,2988.5,90,93,86,92,90,10,7,14,8,10,95,93,96,96,68,37.217
